estacion;nombre;zona
4;Pza. de Espa¤a;1
8;Escuelas Aguirre;1
11;Avda. Ram¢n y Cajal;1
16;Arturo Soria;3
17;Villaverde;5
18;Farolillo;5
24;Casa de Campo;4
27;Barajas Pueblo;3
35;Pza. del Carmen;1
36;Moratalaz;2
38;Cuatro Caminos;1
39;Barrio del Pilar;1
40;Vallecas;2
47;Mendez Alvaro;1
48;Castellana;1
49;Parque del Retiro;1
50;Plaza Castilla;1
54;Ensanche de Vallecas;2
55;Urb. Embajada;3
56;Pza. Fern ndez Ladreda;5
57;Sanchinarro;3
58;El Pardo;4
59;Juan Carlos I;3
60;Tres Olivos;3
